         15994786 function calls (15947473 primitive calls) in 7.361 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    89414    0.034    0.000    0.688    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/plugins/parsers/ntriples.py:243(object)
   268282    0.033    0.000    0.033    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/graph.py:356(__get_identifier)
   361175    0.032    0.000    0.032    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/plugins/stores/memory.py:542(<genexpr>)
    63678    0.030    0.000    1.089    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/term.py:902(__lt__)
   267634    0.029    0.000    0.029    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/plugins/parsers/ntriples.py:96(uriquote)
    89414    0.029    0.000    0.518    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/plugins/parsers/ntriples.py:230(subject)
     8705    0.028    0.000    0.165    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/term.py:539(__new__)
   276288    0.028    0.000    0.028    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/term.py:644(datatype)
   307300    0.027    0.000    0.027    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/term.py:636(value)
    89414    0.026    0.000    0.454    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/plugins/parsers/ntriples.py:237(predicate)
    59144    0.025    0.000    0.026    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/term.py:189(__lt__)
     8411    0.025    0.000    0.052    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/codecs.py:451(read)
        1    0.023    0.023    0.105    0.105 /Users/tiddo/Documents/Msc Artificial Intelligence/Thesis_RGCN/Scaling-RGCN-training/graphdata/graphProcessing.py:15(nodes2type_mapping)
   222240    0.021    0.000    0.021    0.000 {built-in method builtins.hash}
        4    0.021    0.005    0.266    0.067 /Users/tiddo/Documents/Msc Artificial Intelligence/Thesis_RGCN/Scaling-RGCN-training/graphdata/graph.py:27(get_relations)
    89414    0.020    0.000    0.020    0.000 {method 'update' of 'dict' objects}
     8705    0.020    0.000    0.238    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/plugins/parsers/ntriples.py:275(literal)
     1082    0.019    0.000    0.019    0.000 {method 'index' of 'list' objects}
     8423    0.019    0.000    0.019    0.000 {method 'read' of '_io.BufferedReader' objects}
     8705    0.018    0.000    0.033    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/term.py:1546(_castPythonToLiteral)
   184192    0.017    0.000    0.017    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/term.py:640(language)
   203017    0.017    0.000    0.017    0.000 {method 'append' of 'list' objects}
    89414    0.017    0.000    0.017    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/events.py:79(dispatch)
    80910    0.016    0.000    0.207    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/graph.py:678(predicates)
    80910    0.015    0.000    0.201    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/graph.py:683(objects)
    80910    0.015    0.000    0.202    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/graph.py:673(subjects)
       16    0.015    0.001    0.015    0.001 {built-in method tensor}
